Member_number,Date,itemDescription,Day,Season,Vacation
2092,24/05/2015,rum,Wed,Winter,Yes
3174,9/02/2015,frozen dessert,Thu,Winter,Yes
4513,4/11/2015,dishes,Fri,Winter,Yes
2467,4/02/2015,liquor,Sat,Winter,Yes
3508,25/07/2015,curd,Sun,Winter,Yes
1939,2/07/2015,tropical fruit,Mon,Winter,Yes
1636,4/05/2015,whole milk,Tue,Winter,Yes
2443,12/01/2015,pastry,Wed,Winter,Yes
4911,7/01/2015,rolls/buns,Thu,Winter,Yes
3835,16/09/2015,pickled vegetables,Fri,Winter,Yes
2363,22/05/2015,pastry,Sat,Winter,Yes
2344,19/04/2015,other vegetables,Sun,Winter,Yes
3911,15/02/2015,pet care,Mon,Winter,Yes
1450,8/07/2015,coffee,Tue,Winter,Yes
3495,18/11/2015,whole milk,Wed,Winter,Yes
1625,27/11/2015,root vegetables,Thu,Winter,Yes
3265,9/12/2015,packaged fruit/vegetables,Fri,Winter,Yes
3247,1/11/2015,sliced cheese,Sat,Winter,Yes
1777,8/07/2015,fruit/vegetable juice,Sun,Winter,Yes
1862,5/09/2015,napkins,Mon,Winter,Yes
2942,1/02/2015,whole milk,Tue,Winter,Yes
2932,22/01/2015,whole milk,Wed,Winter,Yes
4049,1/08/2015,citrus fruit,Thu,Winter,Yes
1954,6/08/2015,onions,Fri,Winter,Yes
2321,16/06/2015,long life bakery product,Sat,Winter,Yes
2930,23/03/2015,pastry,Sun,Winter,Yes
3214,27/03/2015,brown bread,Mon,Winter,Yes
4877,20/06/2015,sliced cheese,Tue,Winter,Yes
1277,7/06/2015,white bread,Wed,Winter,Yes
2239,13/12/2015,canned fruit,Thu,Winter,Yes
4929,26/03/2015,bottled water,Fri,Winter,Yes
1390,2/03/2015,dental care,Sat,Winter,Yes
1870,9/09/2015,popcorn,Sun,Winter,Yes
3405,3/04/2015,canned fish,Mon,Winter,Yes
2338,8/12/2015,curd,Tue,Winter,Yes
2051,11/09/2015,pip fruit,Wed,Winter,Yes
3504,6/07/2015,sugar,Thu,Winter,Yes
3405,13/04/2015,whole milk,Fri,Winter,Yes
2512,2/09/2015,fruit/vegetable juice,Sat,Winter,Yes
4038,6/11/2015,processed cheese,Sun,Winter,Yes
1759,26/09/2015,whole milk,Mon,Winter,Yes
2813,1/10/2015,cake bar,Tue,Winter,Yes
3055,18/08/2015,soda,Wed,Winter,Yes
1733,18/03/2015,yogurt,Thu,Winter,Yes
1913,18/08/2015,curd,Fri,Winter,Yes
4864,27/03/2015,hygiene articles,Sat,Winter,Yes
4812,27/05/2015,whole milk,Sun,Winter,Yes
3042,5/10/2015,frozen meals,Mon,Winter,Yes
4988,4/10/2015,make up remover,Tue,Winter,Yes
4486,21/07/2015,bottled beer,Wed,Winter,Yes
4069,3/05/2015,soda,Thu,Winter,Yes
4600,14/07/2015,fruit/vegetable juice,Fri,Winter,Yes
3588,5/05/2015,seasonal products,Sat,Winter,Yes
4175,29/01/2015,other vegetables,Sun,Winter,Yes
2599,30/07/2015,cake bar,Mon,Winter,Yes
4671,15/07/2015,instant coffee,Tue,Winter,Yes
2270,9/06/2015,long life bakery product,Wed,Winter,Yes
2494,5/05/2015,canned fish,Thu,Winter,Yes
1406,28/12/2015,misc. beverages,Fri,Winter,Yes
3910,18/12/2015,rolls/buns,Sat,Winter,Yes
3358,21/02/2015,whole milk,Sun,Winter,Yes
1943,14/01/2015,whole milk,Mon,Winter,Yes
1995,12/06/2015,rolls/buns,Tue,Winter,Yes
4666,24/02/2015,long life bakery product,Wed,Winter,Yes
1994,11/03/2015,waffles,Thu,Winter,Yes
4892,9/01/2015,cat food,Fri,Winter,Yes
3531,29/08/2015,canned beer,Sat,Winter,Yes
1148,15/04/2015,white bread,Sun,Winter,Yes
1787,31/10/2015,whole milk,Mon,Winter,Yes
4215,31/05/2015,mustard,Tue,Winter,Yes
2158,1/08/2015,whole milk,Wed,Winter,Yes
2510,29/09/2015,cling film/bags,Thu,Winter,Yes
3180,19/10/2015,tropical fruit,Fri,Winter,Yes
3207,8/08/2015,chocolate,Sat,Winter,Yes
1226,12/11/2015,soda,Sun,Winter,Yes
1682,25/06/2015,domestic eggs,Mon,Winter,Yes
1509,4/11/2015,yogurt,Tue,Winter,Yes
2364,21/06/2015,onions,Wed,Winter,Yes
4679,10/11/2015,pastry,Thu,Winter,Yes
4324,5/01/2015,whole milk,Fri,Winter,Yes
3497,14/06/2015,yogurt,Sat,Winter,Yes
1008,21/07/2015,yogurt,Sun,Winter,Yes
4572,29/10/2015,coffee,Mon,Winter,Yes
4030,4/07/2015,domestic eggs,Tue,Winter,Yes
2422,12/08/2015,white bread,Wed,Winter,Yes
2694,24/11/2015,hard cheese,Thu,Winter,Yes
3481,3/08/2015,curd,Fri,Winter,Yes
3821,3/01/2015,herbs,Sat,Winter,Yes
3752,20/08/2015,soda,Sun,Winter,Yes
3262,8/12/2015,yogurt,Mon,Winter,Yes
1370,28/06/2015,newspapers,Tue,Winter,Yes
1090,31/08/2015,yogurt,Wed,Winter,Yes
3862,18/11/2015,rolls/buns,Thu,Winter,Yes
4495,8/04/2015,domestic eggs,Fri,Winter,Yes
2492,1/11/2015,other vegetables,Sat,Winter,Yes
4688,1/08/2015,canned beer,Sun,Winter,Yes
3633,14/07/2015,brown bread,Mon,Winter,Yes
3709,8/08/2015,yogurt,Tue,Winter,Yes
1220,9/02/2015,rice,Wed,Winter,Yes
4236,25/11/2015,brown bread,Thu,Winter,Yes
3308,19/08/2015,soft cheese,Fri,Winter,Yes
1183,12/06/2015,cream cheese ,Sat,Winter,Yes
1999,24/08/2015,shopping bags,Sun,Winter,Yes
4828,11/10/2015,canned beer,Mon,Winter,Yes
3608,12/10/2015,other vegetables,Tue,Winter,Yes
3983,9/09/2015,butter,Wed,Winter,Yes
3460,24/07/2015,canned vegetables,Thu,Winter,Yes
1703,21/02/2015,canned beer,Fri,Winter,Yes
3002,13/08/2015,coffee,Sat,Winter,Yes
4836,17/08/2015,specialty chocolate,Sun,Winter,Yes
1561,5/06/2015,flower (seeds),Mon,Winter,Yes
4731,4/04/2015,napkins,Tue,Winter,Yes
3812,13/11/2015,whole milk,Wed,Winter,Yes
2097,1/10/2015,newspapers,Thu,Winter,Yes
4986,28/01/2015,frozen meals,Fri,Winter,Yes
4742,15/11/2015,tropical fruit,Sat,Winter,Yes
2502,15/04/2015,sauces,Sun,Winter,Yes
1135,10/07/2015,soda,Mon,Winter,Yes
2403,14/02/2015,pip fruit,Tue,Winter,Yes
4234,17/07/2015,canned vegetables,Wed,Winter,Yes
4068,11/12/2015,butter,Thu,Winter,Yes
2311,30/06/2015,domestic eggs,Fri,Winter,Yes
1353,21/01/2015,tropical fruit,Sat,Winter,Yes
3251,5/07/2015,chocolate,Sun,Winter,Yes
1748,8/03/2015,beverages,Mon,Winter,Yes
1638,12/03/2015,candles,Tue,Winter,Yes
2170,10/02/2015,frozen potato products,Wed,Winter,Yes
3903,6/02/2015,dessert,Thu,Winter,Yes
1245,27/06/2015,canned fruit,Fri,Winter,Yes
3237,28/06/2015,frozen vegetables,Sat,Winter,Yes
2843,12/10/2015,onions,Sun,Winter,Yes
3095,13/10/2015,whole milk,Mon,Winter,Yes
4076,22/05/2015,detergent,Tue,Winter,Yes
1298,23/06/2015,soda,Wed,Winter,Yes
4591,13/06/2015,onions,Thu,Winter,Yes
3592,28/10/2015,canned beer,Fri,Winter,Yes
1305,23/05/2015,white wine,Sat,Winter,Yes
4326,6/11/2015,liquor,Sun,Winter,Yes
3189,3/02/2015,root vegetables,Mon,Winter,Yes
1991,10/02/2015,specialty bar,Tue,Winter,Yes
2091,2/08/2015,candy,Wed,Winter,Yes
3100,6/03/2015,waffles,Thu,Winter,Yes
4984,26/04/2015,yogurt,Fri,Winter,Yes
4444,6/10/2015,root vegetables,Sat,Winter,Yes
4678,17/12/2015,whole milk,Sun,Winter,Yes
1670,22/11/2015,pickled vegetables,Mon,Winter,Yes
3214,14/01/2015,whipped/sour cream,Tue,Winter,Yes
2772,18/03/2015,soft cheese,Wed,Winter,Yes
4343,21/12/2015,brown bread,Thu,Winter,Yes
4351,21/08/2015,prosecco,Fri,Winter,Yes
1598,2/03/2015,white bread,Sat,Winter,Yes
4469,18/10/2015,root vegetables,Sun,Winter,Yes
1788,5/12/2015,citrus fruit,Mon,Winter,Yes
3768,1/08/2015,root vegetables,Tue,Winter,Yes
4661,1/03/2015,rolls/buns,Wed,Winter,Yes
3801,17/08/2015,tropical fruit,Thu,Winter,Yes
4109,4/10/2015,pip fruit,Fri,Winter,Yes
2485,24/03/2015,dessert,Sat,Winter,Yes
2365,11/06/2015,yogurt,Sun,Winter,Yes
2602,8/02/2015,tropical fruit,Mon,Winter,Yes
2391,5/12/2015,other vegetables,Tue,Winter,Yes
3483,8/09/2015,hard cheese,Wed,Winter,Yes
2512,31/01/2015,cream cheese ,Thu,Winter,Yes
2652,1/08/2015,pastry,Fri,Winter,Yes
1777,3/12/2015,pip fruit,Sat,Winter,Yes
4007,23/12/2015,white bread,Sun,Winter,Yes
2653,17/04/2015,candy,Mon,Winter,Yes
2703,21/09/2015,canned beer,Tue,Winter,Yes
4322,14/11/2015,yogurt,Wed,Winter,Yes
2270,4/02/2015,dish cleaner,Thu,Winter,Yes
2306,9/10/2015,grapes,Fri,Winter,Yes
1539,27/09/2015,whipped/sour cream,Sat,Winter,Yes
2517,12/12/2015,syrup,Sun,Winter,Yes
3254,19/10/2015,soda,Mon,Winter,Yes
1711,21/03/2015,citrus fruit,Tue,Winter,Yes
2560,7/06/2015,frozen meals,Wed,Winter,Yes
4891,6/10/2015,whole milk,Thu,Winter,Yes
1622,12/02/2015,tropical fruit,Fri,Winter,Yes
1028,2/06/2015,canned beer,Sat,Winter,Yes
1416,22/08/2015,zwieback,Sun,Winter,Yes
1037,16/12/2015,yogurt,Mon,Winter,Yes
4293,23/04/2015,whole milk,Tue,Winter,Yes
3054,9/04/2015,whole milk,Wed,Winter,Yes
4467,23/04/2015,pork,Thu,Winter,Yes
4811,2/11/2015,rolls/buns,Fri,Winter,Yes
4749,15/02/2015,root vegetables,Sat,Winter,Yes
1825,21/11/2015,baking powder,Sun,Winter,Yes
4685,19/07/2015,whole milk,Mon,Winter,Yes
3621,14/07/2015,bottled water,Tue,Winter,Yes
3219,4/08/2015,other vegetables,Wed,Winter,Yes
1444,29/12/2015,other vegetables,Thu,Winter,Yes
1698,22/07/2015,yogurt,Fri,Winter,Yes
3328,15/04/2015,napkins,Sat,Winter,Yes
3704,30/04/2015,white wine,Sun,Winter,Yes
4124,9/09/2015,mustard,Mon,Winter,Yes
4357,10/10/2015,brown bread,Tue,Winter,Yes
2073,30/04/2015,canned fish,Wed,Winter,Yes
4192,12/09/2015,coffee,Thu,Winter,Yes
3890,26/10/2015,white bread,Fri,Winter,Yes
3147,24/12/2015,vinegar,Sat,Winter,Yes
4550,30/01/2015,other vegetables,Sun,Winter,Yes
3183,7/08/2015,rolls/buns,Mon,Winter,Yes
1878,17/10/2015,onions,Tue,Winter,Yes
2523,12/02/2015,margarine,Wed,Winter,Yes
2227,20/06/2015,whole milk,Thu,Winter,Yes
2267,26/02/2015,oil,Fri,Winter,Yes
4806,27/10/2015,tropical fruit,Sat,Winter,Yes
2422,11/11/2015,misc. beverages,Sun,Winter,Yes
1164,30/03/2015,root vegetables,Mon,Winter,Yes
3096,23/06/2015,yogurt,Tue,Winter,Yes
1821,21/05/2015,napkins,Wed,Winter,Yes
2298,6/10/2015,newspapers,Thu,Winter,Yes
4515,10/05/2015,yogurt,Fri,Winter,Yes
3079,10/03/2015,soda,Sat,Winter,Yes
3352,13/06/2015,sugar,Sun,Winter,Yes
1545,17/10/2015,frozen vegetables,Mon,Winter,Yes
2999,3/08/2015,butter milk,Tue,Winter,Yes
1230,19/11/2015,pastry,Wed,Winter,Yes
2578,25/01/2015,tropical fruit,Thu,Winter,Yes
4611,27/08/2015,whole milk,Fri,Winter,Yes
3575,24/01/2015,whole milk,Sat,Winter,Yes
2517,29/09/2015,salt,Sun,Winter,Yes
2471,19/03/2015,onions,Mon,Winter,Yes
2560,19/06/2015,bottled water,Tue,Winter,Yes
4492,14/06/2015,frozen meals,Wed,Winter,Yes
1217,18/02/2015,dog food,Thu,Winter,Yes
2950,10/10/2015,bottled water,Fri,Winter,Yes
4337,26/10/2015,tropical fruit,Sat,Winter,Yes
2599,27/01/2015,curd,Sun,Winter,Yes
2924,19/11/2015,yogurt,Mon,Winter,Yes
3734,5/09/2015,rolls/buns,Tue,Winter,Yes
3985,24/07/2015,canned beer,Wed,Winter,Yes
1823,11/11/2015,pastry,Thu,Winter,Yes
1722,27/08/2015,pastry,Fri,Winter,Yes
3818,29/03/2015,curd,Sat,Winter,Yes
4924,11/06/2015,other vegetables,Sun,Winter,Yes
3194,3/05/2015,UHT-milk,Mon,Winter,Yes
2156,7/08/2015,pip fruit,Tue,Winter,Yes
3182,5/05/2015,rice,Wed,Winter,Yes
2902,16/08/2015,whole milk,Thu,Winter,Yes
3450,24/12/2015,shopping bags,Fri,Winter,Yes
4262,11/09/2015,pip fruit,Sat,Winter,Yes
1276,28/08/2015,cream cheese ,Sun,Winter,Yes
2184,23/01/2015,rolls/buns,Mon,Winter,Yes
1670,30/06/2015,pork,Tue,Winter,Yes
1198,31/01/2015,specialty chocolate,Wed,Winter,Yes
1858,25/01/2015,butter milk,Thu,Winter,Yes
1404,16/01/2015,canned beer,Fri,Winter,Yes
2899,9/11/2015,fruit/vegetable juice,Sat,Winter,Yes
2057,13/11/2015,soda,Sun,Winter,Yes
2799,27/02/2015,pickled vegetables,Mon,Winter,Yes
4913,1/08/2015,other vegetables,Tue,Winter,Yes
2413,26/06/2015,rolls/buns,Wed,Winter,Yes
4819,20/09/2015,soda,Thu,Winter,Yes
3014,15/07/2015,berries,Fri,Winter,Yes
1419,7/04/2015,hygiene articles,Sat,Winter,Yes
2589,29/04/2015,fruit/vegetable juice,Sun,Winter,Yes
3648,2/06/2015,soda,Mon,Winter,Yes
1349,13/12/2015,hard cheese,Tue,Winter,Yes
2706,3/10/2015,newspapers,Wed,Winter,Yes
1144,16/01/2015,domestic eggs,Thu,Winter,Yes
1275,7/05/2015,butter,Fri,Winter,Yes
1851,11/07/2015,mayonnaise,Sat,Winter,Yes
2305,28/09/2015,whole milk,Sun,Winter,Yes
1905,18/10/2015,onions,Mon,Winter,Yes
3732,6/12/2015,salty snack,Tue,Winter,Yes
2724,30/04/2015,specialty chocolate,Wed,Winter,Yes
3245,19/03/2015,beverages,Thu,Winter,Yes
2005,20/04/2015,yogurt,Fri,Winter,Yes
4643,10/08/2015,photo/film,Sat,Winter,Yes
2538,27/07/2015,seasonal products,Sun,Winter,Yes
1173,7/02/2015,fruit/vegetable juice,Mon,Winter,Yes
1703,15/02/2015,bottled water,Tue,Winter,Yes
3347,24/01/2015,ice cream,Wed,Winter,Yes
1561,25/07/2015,domestic eggs,Thu,Winter,Yes
1632,27/08/2015,napkins,Fri,Winter,Yes
2995,18/02/2015,shopping bags,Sat,Winter,Yes
1318,26/09/2015,specialty bar,Sun,Winter,Yes
1133,26/02/2015,rolls/buns,Mon,Winter,Yes
2357,3/08/2015,specialty cheese,Tue,Winter,Yes
4007,13/03/2015,bottled water,Wed,Winter,Yes
2383,2/01/2015,yogurt,Thu,Winter,Yes
3128,30/08/2015,bottled beer,Fri,Winter,Yes
1372,25/04/2015,white bread,Sat,Winter,Yes
1839,16/08/2015,waffles,Sun,Winter,Yes
3567,17/02/2015,nut snack,Mon,Winter,Yes
3573,3/04/2015,root vegetables,Tue,Winter,Yes
3765,12/06/2015,soda,Wed,Winter,Yes
2875,12/03/2015,soda,Thu,Winter,Yes
3737,21/11/2015,chocolate,Fri,Winter,Yes
3535,28/02/2015,rolls/buns,Sat,Winter,Yes
4288,13/11/2015,whipped/sour cream,Sun,Winter,Yes
1334,7/03/2015,bottled beer,Mon,Winter,Yes
2046,28/02/2015,bottled water,Tue,Winter,Yes
1922,7/10/2015,beverages,Wed,Winter,Yes
2184,19/09/2015,bottled beer,Thu,Winter,Yes
2632,23/09/2015,pot plants,Fri,Winter,Yes
2108,1/10/2015,tropical fruit,Sat,Winter,Yes
2547,24/11/2015,pet care,Sun,Winter,Yes
4720,12/02/2015,curd,Mon,Winter,Yes
4008,19/05/2015,root vegetables,Tue,Winter,Yes
1438,28/11/2015,UHT-milk,Wed,Winter,Yes
3027,14/09/2015,root vegetables,Thu,Winter,Yes
1342,7/01/2015,frozen vegetables,Fri,Winter,Yes
4952,26/08/2015,pastry,Sat,Winter,Yes
1218,20/08/2015,rolls/buns,Sun,Winter,Yes
4804,19/11/2015,whole milk,Mon,Winter,Yes
3319,17/11/2015,salty snack,Tue,Winter,Yes
2459,22/09/2015,canned beer,Wed,Winter,Yes
1123,31/01/2015,rolls/buns,Thu,Winter,Yes
1827,1/07/2015,soda,Fri,Winter,Yes
4769,20/09/2015,grapes,Sat,Winter,Yes
3769,27/02/2015,grapes,Sun,Winter,Yes
4713,28/01/2015,bottled beer,Mon,Winter,Yes
1741,20/12/2015,napkins,Tue,Winter,Yes
4238,12/12/2015,packaged fruit/vegetables,Wed,Winter,Yes
4051,28/01/2015,whole milk,Thu,Winter,Yes
4960,19/08/2015,root vegetables,Fri,Winter,Yes
4602,26/08/2015,frozen vegetables,Sat,Winter,Yes
3549,12/02/2015,tropical fruit,Sun,Winter,Yes
2746,29/05/2015,soups,Mon,Winter,Yes
2444,17/06/2015,curd,Tue,Winter,Yes
3196,4/11/2015,tropical fruit,Wed,Winter,Yes
4672,5/11/2015,UHT-milk,Thu,Winter,Yes
3308,8/03/2015,butter,Fri,Winter,Yes
3328,16/08/2015,butter milk,Sat,Winter,Yes
4923,23/09/2015,soups,Sun,Winter,Yes
2981,11/05/2015,chocolate,Mon,Winter,Yes
3615,2/09/2015,newspapers,Tue,Winter,Yes
1620,22/03/2015,frozen dessert,Wed,Winter,Yes
2583,15/02/2015,tropical fruit,Thu,Winter,Yes
1362,6/10/2015,whole milk,Fri,Winter,Yes
2462,8/01/2015,pastry,Sat,Winter,Yes
3198,23/06/2015,pip fruit,Sun,Winter,Yes
3296,22/05/2015,packaged fruit/vegetables,Mon,Winter,Yes
3447,3/09/2015,whole milk,Tue,Winter,Yes
4001,30/03/2015,candy,Wed,Winter,Yes
2082,21/06/2015,pastry,Thu,Winter,Yes
1679,8/12/2015,rolls/buns,Fri,Winter,Yes
3605,5/04/2015,rolls/buns,Sat,Winter,Yes
3762,4/01/2015,dessert,Sun,Winter,Yes
2375,3/09/2015,pork,Mon,Winter,Yes
1617,30/03/2015,soda,Tue,Winter,Yes
3399,9/04/2015,other vegetables,Wed,Winter,Yes
1570,15/03/2015,yogurt,Thu,Winter,Yes
1583,24/03/2015,liquor,Fri,Winter,Yes
3348,5/12/2015,whole milk,Sat,Winter,Yes
1427,10/01/2015,soda,Sun,Winter,Yes
3041,27/08/2015,shopping bags,Mon,Winter,Yes
1661,8/11/2015,white wine,Tue,Winter,Yes
1076,12/06/2015,butter,Wed,Winter,Yes
3545,29/09/2015,berries,Thu,Winter,Yes
3593,10/09/2015,whole milk,Fri,Winter,Yes
3891,16/02/2015,newspapers,Sat,Winter,Yes
2115,18/11/2015,soda,Sun,Winter,Yes
2480,26/03/2015,yogurt,Mon,Winter,Yes
1532,20/06/2015,citrus fruit,Tue,Winter,Yes
2530,13/06/2015,yogurt,Wed,Winter,Yes
1803,12/05/2015,yogurt,Thu,Winter,Yes
2604,20/09/2015,bottled water,Fri,Winter,Yes
3595,21/03/2015,cream cheese ,Sat,Winter,Yes
1442,30/03/2015,butter,Sun,Winter,Yes
1515,9/11/2015,soda,Mon,Winter,Yes
2899,24/11/2015,cling film/bags,Tue,Winter,Yes
1845,7/08/2015,root vegetables,Wed,Winter,Yes
4334,28/04/2015,candy,Thu,Winter,Yes
3885,13/04/2015,seasonal products,Fri,Winter,Yes
1474,2/06/2015,cream cheese ,Sat,Winter,Yes
4783,21/02/2015,whipped/sour cream,Sun,Winter,Yes
1379,6/02/2015,onions,Mon,Winter,Yes
4217,17/06/2015,soda,Tue,Winter,Yes
4281,14/09/2015,soda,Wed,Winter,Yes
2690,1/05/2015,other vegetables,Thu,Winter,Yes
2543,23/05/2015,dessert,Fri,Winter,Yes
2300,28/04/2015,white wine,Sat,Winter,Yes
4302,5/04/2015,napkins,Sun,Winter,Yes
1930,15/11/2015,candy,Mon,Winter,Yes
2834,2/12/2015,yogurt,Tue,Winter,Yes
2307,26/05/2015,hygiene articles,Wed,Winter,Yes
3894,25/01/2015,root vegetables,Thu,Winter,Yes
1467,20/08/2015,pickled vegetables,Fri,Winter,Yes
3952,30/10/2015,brown bread,Sat,Winter,Yes
3016,1/12/2015,long life bakery product,Sun,Winter,Yes
2118,18/07/2015,pot plants,Mon,Winter,Yes
1940,14/02/2015,beef,Tue,Winter,Yes
1430,4/09/2015,yogurt,Wed,Winter,Yes
2738,11/04/2015,whole milk,Thu,Winter,Yes
1565,30/11/2015,shopping bags,Fri,Winter,Yes
4755,27/12/2015,rolls/buns,Sat,Winter,Yes
1410,8/11/2015,soda,Sun,Winter,Yes
3829,2/08/2015,beef,Mon,Winter,Yes
3086,4/04/2015,shopping bags,Tue,Winter,Yes
4780,9/06/2015,brown bread,Wed,Winter,Yes
4085,29/09/2015,newspapers,Thu,Winter,Yes
3236,26/01/2015,herbs,Fri,Winter,Yes
2040,31/05/2015,tropical fruit,Sat,Winter,Yes
2370,4/02/2015,ice cream,Sun,Winter,Yes
4249,27/02/2015,UHT-milk,Mon,Winter,Yes
2836,14/08/2015,butter milk,Tue,Winter,Yes
1220,1/01/2015,margarine,Wed,Winter,Yes
3520,2/01/2015,canned beer,Thu,Winter,Yes
2566,31/01/2015,pastry,Fri,Winter,Yes
2655,5/01/2015,pastry,Sat,Winter,Yes
4147,18/04/2015,flour,Sun,Winter,Yes
3364,30/08/2015,specialty chocolate,Mon,Winter,Yes
2370,14/01/2015,bottled beer,Tue,Winter,Yes
3809,8/02/2015,dog food,Wed,Winter,Yes
3744,6/11/2015,misc. beverages,Thu,Winter,Yes
1588,19/01/2015,beverages,Fri,Winter,Yes
4304,1/02/2015,pip fruit,Sat,Winter,Yes
2240,20/09/2015,chocolate,Sun,Winter,Yes
3175,5/06/2015,other vegetables,Mon,Winter,Yes
1231,27/10/2015,sliced cheese,Tue,Winter,Yes
3599,11/06/2015,beverages,Wed,Winter,Yes
3738,1/04/2015,yogurt,Thu,Winter,Yes
1593,8/08/2015,rolls/buns,Fri,Winter,Yes
1319,10/01/2015,rice,Sat,Winter,Yes
2105,21/01/2015,tropical fruit,Sun,Winter,Yes
2056,3/07/2015,bottled water,Mon,Winter,Yes
3139,21/04/2015,onions,Tue,Winter,Yes
1098,19/01/2015,shopping bags,Wed,Winter,Yes
2601,22/10/2015,margarine,Thu,Winter,Yes
2694,19/06/2015,bottled beer,Fri,Winter,Yes
4524,26/12/2015,root vegetables,Sat,Winter,Yes
1165,13/04/2015,packaged fruit/vegetables,Sun,Winter,Yes
3705,7/09/2015,root vegetables,Mon,Winter,Yes
1634,28/05/2015,bottled water,Tue,Winter,Yes
2030,4/09/2015,soda,Wed,Winter,Yes
4989,19/06/2015,mustard,Thu,Winter,Yes
1715,4/07/2015,white wine,Fri,Winter,Yes
4552,13/08/2015,domestic eggs,Sat,Winter,Yes
1303,29/03/2015,whole milk,Sun,Winter,Yes
1430,9/02/2015,hamburger meat,Mon,Winter,Yes
4559,12/05/2015,yogurt,Tue,Winter,Yes
3848,18/11/2015,shopping bags,Wed,Winter,Yes
2162,19/06/2015,pot plants,Thu,Winter,Yes
3719,17/12/2015,other vegetables,Fri,Winter,Yes
3153,28/04/2015,newspapers,Sat,Winter,Yes
4462,2/04/2015,rolls/buns,Sun,Winter,Yes
2420,27/09/2015,hard cheese,Mon,Winter,Yes
3971,17/06/2015,hamburger meat,Tue,Winter,Yes
1611,26/02/2015,yogurt,Wed,Winter,Yes
1225,26/02/2015,whole milk,Thu,Winter,Yes
1554,21/05/2015,tropical fruit,Fri,Winter,Yes
4624,27/11/2015,sliced cheese,Sat,Winter,Yes
3337,10/06/2015,whole milk,Sun,Winter,Yes
2265,25/09/2015,soft cheese,Mon,Winter,Yes
4999,24/01/2015,other vegetables,Tue,Winter,Yes
4102,3/11/2015,newspapers,Wed,Winter,Yes
3853,4/07/2015,tropical fruit,Thu,Winter,Yes
2265,13/06/2015,white bread,Fri,Winter,Yes
2452,11/08/2015,butter milk,Sat,Winter,Yes
2829,19/12/2015,chewing gum,Sun,Winter,Yes
3926,20/08/2015,white bread,Mon,Winter,Yes
3960,21/10/2015,processed cheese,Tue,Winter,Yes
3980,16/09/2015,root vegetables,Wed,Winter,Yes
1116,29/01/2015,liquor,Thu,Winter,Yes
2663,21/10/2015,semi-finished bread,Fri,Winter,Yes
2164,24/11/2015,whole milk,Sat,Winter,Yes
3950,12/05/2015,bottled water,Sun,Winter,Yes
1252,13/04/2015,pot plants,Mon,Winter,Yes
4804,27/12/2015,butter,Tue,Winter,Yes
4041,7/09/2015,yogurt,Wed,Winter,Yes
1894,4/08/2015,whole milk,Thu,Winter,Yes
4977,20/08/2015,soft cheese,Fri,Winter,Yes
2171,3/09/2015,soft cheese,Sat,Winter,Yes
3417,15/12/2015,sugar,Sun,Winter,Yes
1175,10/06/2015,shopping bags,Mon,Winter,Yes
4946,17/02/2015,dog food,Tue,Winter,Yes
4662,27/06/2015,rolls/buns,Wed,Winter,Yes
2869,10/12/2015,root vegetables,Thu,Winter,Yes
4053,22/03/2015,chicken,Fri,Winter,Yes
4574,30/11/2015,margarine,Sat,Winter,Yes
1110,15/11/2015,butter,Sun,Winter,Yes
4700,4/03/2015,whole milk,Mon,Winter,Yes
2565,29/04/2015,pip fruit,Tue,Winter,Yes
2468,13/03/2015,rolls/buns,Wed,Winter,Yes
4836,13/11/2015,sliced cheese,Thu,Winter,Yes
3504,22/09/2015,white wine,Fri,Winter,Yes
1333,3/04/2015,canned beer,Sat,Winter,Yes
4039,27/12/2015,other vegetables,Sun,Winter,Yes
2077,15/05/2015,butter,Mon,Winter,Yes
3519,13/12/2015,root vegetables,Tue,Winter,Yes
2989,30/01/2015,herbs,Wed,Winter,Yes
3737,5/05/2015,pot plants,Thu,Winter,Yes
3558,19/09/2015,whole milk,Fri,Winter,Yes
3036,13/07/2015,root vegetables,Sat,Winter,Yes
3180,3/07/2015,margarine,Sun,Winter,Yes
2978,9/05/2015,beverages,Mon,Winter,Yes
3985,23/10/2015,cling film/bags,Tue,Winter,Yes
4903,8/12/2015,curd,Wed,Winter,Yes
2835,9/10/2015,onions,Thu,Winter,Yes
3783,22/06/2015,beverages,Fri,Winter,Yes
1486,14/12/2015,onions,Sat,Winter,Yes
4589,8/10/2015,whole milk,Sun,Winter,Yes
1132,19/02/2015,other vegetables,Mon,Winter,Yes
4827,27/11/2015,brown bread,Tue,Winter,Yes
3361,28/06/2015,oil,Wed,Winter,Yes
4681,11/09/2015,white bread,Thu,Winter,Yes
4197,26/10/2015,pet care,Fri,Winter,Yes
3701,22/01/2015,white bread,Sat,Winter,Yes
4195,1/10/2015,root vegetables,Sun,Winter,Yes
3429,1/04/2015,hard cheese,Mon,Winter,Yes
2430,20/01/2015,root vegetables,Tue,Winter,Yes
4330,8/04/2015,domestic eggs,Wed,Winter,Yes
1783,18/03/2015,hamburger meat,Thu,Winter,Yes
4025,4/11/2015,citrus fruit,Fri,Winter,Yes
3399,19/07/2015,yogurt,Sat,Winter,Yes
4766,3/01/2015,newspapers,Sun,Winter,Yes
3562,13/08/2015,whole milk,Mon,Winter,Yes
2447,21/01/2015,pot plants,Tue,Winter,Yes
1396,22/07/2015,coffee,Wed,Winter,Yes
